,이용일,금액,대분류,중분류,소분류
628,2019-03-18,58000,문화,도서,교보문고
629,2019-03-18,1500,식사,카페,카페7그램
630,2019-03-18,2200,생활,편의점,바이더웨이
631,2019-03-18,7000,식사,순대,
632,2019-03-19,2500,생활,편의점,CU
633,2019-03-20,3000,식사,분식,
634,2019-03-21,3100,생활,편의점,CU
635,2019-03-22,2100,생활,편의점,바이더웨이
636,2019-03-22,2500,생활,편의점,바이더웨이
637,2019-03-22,1500,식사,카페,카페7그램
638,2019-03-24,17000,식사,만두,
639,2019-03-24,14000,식사,닭강정,
640,2019-03-24,9800,식사,카페,카페디엠
641,2019-03-25,4000,식사,한식,
642,2019-03-26,1800,생활,편의점,바이더웨이
643,2019-03-26,2100,생활,편의점,바이더웨이
644,2019-03-27,2400,생활,마트,이마트
645,2019-03-28,2300,생활,편의점,CU
646,2019-03-28,40000,문화,도서,교보문고
647,2019-03-28,-2000,기타,할인,
648,2019-03-29,49200,교통,버스 21,
649,2019-03-29,1500,식사,카페,카페7그램
650,2019-03-29,2800,생활,편의점,GS25
651,2019-03-29,29000,문화,도서,교보문고
652,2019-03-29,-1450,기타,할인,
653,2019-03-29,2200,생활,마트,이마트
654,2019-03-30,25000,식사,일식,
655,2019-03-30,14000,식사,닭강정,
656,2019-03-31,2800,식사,카페,서기커피
657,2019-03-31,3800,식사,카페,서기커피
658,2019-04-01,8800,식사,카페,스타벅스
659,2019-04-01,2000,식사,카페,카페7그램
660,2019-04-02,6050,교통,지하철 4,
661,2019-04-02,-605,기타,할인,
662,2019-04-02,2200,생활,마트,이마트
663,2019-04-03,3000,식사,카페,카페7그램
664,2019-04-03,-3600,기타,할인,
665,2019-04-03,2300,생활,편의점,CU
666,2019-04-03,-2420,기타,할인,
667,2019-04-03,12100,식사,카페,스타벅스
668,2019-04-03,18000,식사,카페,스타벅스
669,2019-04-04,1400,생활,편의점,CU
670,2019-04-04,3500,식사,분식,
671,2019-04-05,1800,생활,편의점,바이더웨이
672,2019-04-05,1500,식사,카페,카페7그램
673,2019-04-05,2400,생활,마트,이마트
674,2019-04-06,9900,쇼핑,온라인,옥션
675,2019-04-07,12600,식사,카페,서기커피
676,2019-04-07,13500,식사,카페,브릭스더커피
677,2019-04-07,10400,식사,카페,서기커피
678,2019-04-07,34400,식사,일식,
679,2019-04-07,3200,식사,디저트,
680,2019-04-07,8850,식사,디저트,
681,2019-04-08,2300,식사,카페,카페7그램
682,2019-04-08,2000,식사,카페,카페7그램
683,2019-04-09,3400,식사,디저트,
684,2019-04-10,6900,식사,햄버거,롯데리아
685,2019-04-11,2000,생활,편의점,CU
686,2019-04-11,3500,식사,분식,
687,2019-04-12,2400,생활,마트,이마트
688,2019-04-12,42000,식사,순대,
689,2019-04-12,2000,식사,카페,카페7그램
690,2019-04-12,1700,생활,편의점,CU
691,2019-04-13,49000,쇼핑,패션,파크랜드
692,2019-04-13,9000,쇼핑,패션,롯데프리미엄아울렛
693,2019-04-13,40600,쇼핑,패션,롯데프리미엄아울렛
694,2019-04-14,2600,생활,편의점,GS25
695,2019-04-15,5000,의료,약국,
696,2019-04-15,3500,식사,분식,
697,2019-04-15,1500,식사,카페,카페7그램
698,2019-04-15,3500,생활,편의점,CU
699,2019-04-15,50400,교통,버스 21,
700,2019-04-15,-1395,기타,할인,
701,2019-04-16,1800,생활,편의점,바이더웨이
702,2019-04-16,3500,식사,분식,
703,2019-04-17,1800,생활,편의점,바이더웨이
704,2019-04-17,2800,생활,마트,이마트
705,2019-04-18,1500,식사,카페,카페7그램
706,2019-04-18,3300,식사,디저트,
707,2019-04-19,3500,식사,분식,
708,2019-04-20,35000,식사,구이,
709,2019-04-20,60000,식사,한식,
710,2019-04-21,6500,식사,카페,요거프레소
711,2019-04-21,4800,식사,카페,요거프레소
712,2019-04-22,2000,식사,카페,카페7그램
713,2019-04-22,3300,식사,디저트,
714,2019-04-23,1800,식사,카페,카페7그램
715,2019-04-23,3500,식사,분식,
716,2019-04-23,6500,식사,디저트,
717,2019-04-24,2300,생활,편의점,CU
718,2019-04-25,1800,식사,카페,카페7그램
719,2019-04-25,1800,생활,마트,이마트
720,2019-04-26,1800,교통,고속도로,
721,2019-04-26,7000,생활,편의점,바이더웨이
722,2019-04-26,2100,생활,편의점,바이더웨이
723,2019-04-26,9600,교통,택시,
724,2019-04-26,2000,식사,카페,카페7그램
725,2019-04-26,7000,식사,순대,
726,2019-04-26,3300,생활,편의점,GS25
727,2019-04-27,1900,식사,카페,스타벅스
728,2019-04-27,4100,식사,카페,스타벅스
729,2019-04-29,1500,식사,카페,카페7그램
730,2019-04-29,3500,식사,분식,
731,2019-04-29,6000,식사,카페,빽다방
732,2019-04-30,56550,교통,버스 24,
733,2019-04-30,2000,식사,카페,카페7그램
734,2019-05-01,2000,생활,편의점,바이더웨이
735,2019-05-01,1500,식사,카페,카페7그램
736,2019-05-01,7000,식사,순대,
737,2019-05-02,1400,생활,편의점,CU
738,2019-05-02,8800,식사,카페,카페7그램
739,2019-05-02,3500,식사,분식,
740,2019-05-02,14000,식사,순대,
741,2019-05-03,2000,식사,카페,카페7그램
742,2019-05-03,2000,식사,카페,빽다방
743,2019-05-05,23500,식사,햄버거,롯데리아
744,2019-05-05,4300,식사,카페,서기커피
745,2019-05-06,11000,문화,영화,CGV
746,2019-05-06,17200,식사,햄버거,버거킹
747,2019-05-06,42000,식사,레스토랑,
748,2019-05-06,94800,쇼핑,패션,무인양품
749,2019-05-06,70000,기타,,
750,2019-05-07,2000,생활,편의점,바이더웨이
751,2019-05-07,2000,식사,카페,카페7그램
752,2019-05-07,2000,생활,마트,이마트
753,2019-05-08,1500,생활,편의점,GS25
754,2019-05-08,3500,식사,분식,
755,2019-05-08,2000,식사,카페,카페7그램
756,2019-05-09,1500,식사,카페,카페7그램
757,2019-05-09,2000,식사,카페,카페7그램
758,2019-05-09,3300,식사,디저트,
759,2019-05-10,3800,식사,카페,카페7그램
760,2019-05-11,5200,문화,도서,알라딘
761,2019-05-11,53000,기타,,
762,2019-05-11,28000,기타,,
763,2019-05-11,94800,생활,마트,롯데마트
764,2019-05-11,30000,생활,마트,롯데마트
765,2019-05-11,-250,기타,할인,
766,2019-05-11,2500,교통,지하철 2,
767,2019-05-11,9900,생활,마트,AK
768,2019-05-11,31000,식사,레스토랑,
769,2019-05-12,6500,식사,카페,요거프레소
770,2019-05-13,1500,식사,카페,카페7그램
771,2019-05-13,3500,식사,분식,
772,2019-05-14,5400,식사,카페,스타벅스
773,2019-05-14,3200,생활,마트,이마트
774,2019-05-15,31000,식사,한식,
775,2019-05-15,1500,식사,카페,카페7그램
776,2019-05-15,2300,생활,마트,이마트
777,2019-05-15,53200,교통,버스 23,
778,2019-05-15,-1750,기타,할인,
779,2019-05-16,4000,생활,편의점,바이더웨이
780,2019-05-16,2000,식사,카페,카페7그램
781,2019-05-17,1900,식사,카페,카페7그램
782,2019-05-17,2000,식사,카페,카페7그램
783,2019-05-17,3500,식사,분식,
784,2019-05-18,11000,생활,마트,롯데마트
785,2019-05-18,30000,기타,,
786,2019-05-18,23000,식사,레스토랑,
787,2019-05-18,34000,식사,족발,
788,2019-05-19,14900,식사,카페,서기커피
789,2019-05-19,9900,생활,마트,홈플러스
790,2019-05-20,2000,식사,카페,카페7그램
791,2019-05-20,3300,식사,디저트,
792,2019-05-21,2000,식사,카페,카페7그램
793,2019-05-21,3700,생활,마트,이마트
794,2019-05-22,4000,식사,분식,
795,2019-05-22,2000,식사,카페,카페7그램
796,2019-05-23,1400,생활,마트,이마트
797,2019-05-23,3500,식사,분식,
798,2019-05-24,2000,생활,편의점,세븐일레븐
799,2019-05-24,2000,식사,카페,카페7그램
800,2019-05-24,1900,식사,카페,카페7그램
801,2019-05-25,5000,생활,마트,AK
802,2019-05-25,5100,교통,지하철 4,
803,2019-05-25,6050,식사,디저트,
804,2019-05-25,31800,생활,마트,롯데마트
805,2019-05-25,32800,식사,레스토랑,
806,2019-05-25,30000,기타,,
807,2019-05-25,25000,식사,일식,
808,2019-05-25,5800,생활,마트,AK
809,2019-05-26,3800,식사,카페,서기커피
810,2019-05-26,2500,생활,마트,웰빙마트
811,2019-05-26,3000,식사,카페,서기커피
812,2019-05-26,10000,식사,카페,카페디엠
813,2019-05-26,3000,식사,카페,요거프레소
814,2019-05-27,1500,식사,카페,카페7그램
815,2019-05-27,2400,생활,마트,이마트
816,2019-05-28,3300,생활,마트,이마트
817,2019-05-29,2000,식사,카페,카페7그램
818,2019-05-29,3500,식사,분식,
819,2019-05-29,2300,생활,마트,이마트
820,2019-05-30,3500,식사,분식,
821,2019-05-31,60000,교통,버스 26,
822,2019-05-31,4700,생활,편의점,GS25
823,2019-06-01,34800,생활,마트,홈플러스
824,2019-06-01,17000,식사,닭강정,
825,2019-06-01,109000,쇼핑,온라인,쿠팡
826,2019-06-02,19500,식사,돈까스,
827,2019-06-02,28000,식사,족발,
828,2019-06-03,2000,식사,카페,카페7그램
829,2019-06-03,3500,식사,분식,
830,2019-06-03,8000,식사,한식,
831,2019-06-04,3400,생활,편의점,GS25
832,2019-06-04,3900,식사,카페,커피코트
833,2019-06-05,2000,식사,카페,카페7그램
834,2019-06-05,3900,식사,카페,커피코트
835,2019-06-06,31000,식사,카페,스타벅스
836,2019-06-06,-4000,기타,할인,
837,2019-06-06,32000,생활,마트,AK
838,2019-06-07,3900,식사,디저트,
839,2019-06-07,6600,식사,햄버거,롯데리아
840,2019-06-07,1800,생활,편의점,바이더웨이
841,2019-06-07,1000,생활,편의점,CU
842,2019-06-07,3600,교통,기차,
843,2019-06-08,10000,식사,카페,띠아모커피
844,2019-06-09,5000,생활,편의점,GS25
845,2019-06-10,3100,생활,편의점,CU
846,2019-06-10,1500,식사,카페,카페7그램
847,2019-06-11,2000,식사,카페,카페7그램
848,2019-06-11,11700,식사,카페,커피코트
849,2019-06-12,2500,생활,편의점,GS25
850,2019-06-12,3500,식사,분식,
851,2019-06-13,5000,생활,편의점,GS25
852,2019-06-14,1800,생활,편의점,바이더웨이
853,2019-06-14,2000,식사,카페,카페7그램
854,2019-06-14,1800,생활,편의점,미니스톱
855,2019-06-14,64200,유흥,술,
856,2019-06-15,5000,생활,편의점,GS25
857,2019-06-15,25000,생활,전자,애플
858,2019-06-15,1000,생활,편의점,세븐일레븐
859,2019-06-15,14000,식사,닭강정,
860,2019-06-15,45450,교통,버스 21,
861,2019-06-15,10500,교통,지하철 8,
862,2019-06-15,-950,기타,할인,
863,2019-06-15,-1050,기타,할인,
864,2019-06-16,432330,쇼핑,온라인,옥션
865,2019-06-17,1800,생활,편의점,바이더웨이
866,2019-06-17,2000,식사,카페,카페7그램
867,2019-06-18,5520,생활,편의점,바이더웨이
868,2019-06-18,5000,식사,카페,빽다방
869,2019-06-18,2300,생활,마트,이마트
870,2019-06-19,16000,식사,한식,
871,2019-06-19,3500,식사,분식,
872,2019-06-20,3900,식사,카페,커피코트
873,2019-06-20,2000,식사,카페,카페7그램
874,2019-06-21,3600,교통,기차,
875,2019-06-21,10500,식사,카페,스타벅스
876,2019-06-21,-2100,기타,할인,
877,2019-06-21,2000,생활,편의점,바이더웨이
878,2019-06-21,1500,식사,카페,카페7그램
879,2019-06-21,36000,식사,카페,카페7그램
880,2019-06-21,8500,식사,카페,빽다방
881,2019-06-22,5000,생활,편의점,GS25
882,2019-06-22,7400,교통,기차,
883,2019-06-22,6420,생활,마트,이마트
884,2019-06-24,3500,식사,분식,
885,2019-06-24,40000,문화,도서,교보문고
886,2019-06-24,-2000,기타,할인,
887,2019-06-25,2000,식사,카페,카페7그램
888,2019-06-25,3900,식사,카페,커피코트
889,2019-06-26,5000,생활,편의점,GS25
890,2019-06-26,6500,식사,디저트,
891,2019-06-27,4500,식사,카페,빽다방
892,2019-06-27,3600,교통,기차,
893,2019-06-27,9500,식사,카페,빽다방
894,2019-06-28,3600,교통,기차,
895,2019-06-28,48000,교통,버스 20,
896,2019-06-28,7000,식사,분식,
897,2019-06-29,5000,생활,편의점,GS25
898,2019-06-29,2500,생활,편의점,교내편의점
899,2019-06-29,45000,문화,도서,교보문고
900,2019-06-29,-3600,교통,기차,
901,2019-06-29,3850,교통,지하철 3,
902,2019-06-29,-2250,기타,할인,
903,2019-07-01,1700,생활,편의점,CU
904,2019-07-02,3500,식사,분식,
905,2019-07-03,176000,쇼핑,온라인,옥션
906,2019-07-03,1900,식사,카페,카페7그램
907,2019-07-03,2400,생활,마트,이마트
908,2019-07-05,1800,생활,편의점,바이더웨이
909,2019-07-05,1900,식사,카페,카페7그램
910,2019-07-05,6900,식사,순대,
911,2019-07-06,13200,식사,햄버거,롯데리아
912,2019-07-06,11000,식사,카페,카페베네
913,2019-07-06,25000,식사,일식,
914,2019-07-06,1200,생활,편의점,GS25
915,2019-07-06,4000,식사,떡볶이,
916,2019-07-07,17800,식사,디저트,
917,2019-07-07,53000,식사,한식,
918,2019-07-07,-415,기타,할인,
919,2019-07-07,4150,교통,지하철 4,
920,2019-07-08,1900,식사,카페,카페7그램
921,2019-07-10,4326850,생활,전자,애플
922,2019-07-11,2000,식사,카페,카페7그램
923,2019-07-12,2000,생활,편의점,바이더웨이
924,2019-07-12,41600,통신,,
925,2019-07-12,2000,식사,카페,카페7그램
926,2019-07-13,8000,생활,마트,웰빙마트
927,2019-07-13,15000,식사,한식,
928,2019-07-14,3500,식사,카페,요거프레소
929,2019-07-14,2000,식사,카페,요거프레소
930,2019-07-14,8700,식사,햄버거,버거킹
931,2019-07-14,20200,식사,햄버거,롯데리아
932,2019-07-15,3500,식사,분식,
933,2019-07-15,55400,교통,버스 24,
934,2019-07-15,-1585,기타,할인,
935,2019-07-17,3500,생활,편의점,바이더웨이
936,2019-07-17,7200,쇼핑,온라인,쿠팡
937,2019-07-18,2000,식사,카페,카페7그램
938,2019-07-19,8000,식사,카페,아리스타커피
939,2019-07-20,11200,식사,카페,스타벅스
940,2019-07-20,-2240,기타,할인,
941,2019-07-20,6000,생활,오피스,다이소
942,2019-07-20,29500,식사,레스토랑,
943,2019-07-20,4700,생활,마트,웰빙마트
944,2019-07-20,12900,쇼핑,패션,스파오
945,2019-07-21,3300,식사,카페,서기커피
946,2019-07-22,7000,식사,순대,
947,2019-07-23,2000,식사,카페,카페7그램
948,2019-07-25,7000,식사,카페,빽다방
949,2019-07-25,2300,생활,마트,이마트
950,2019-07-25,16000,식사,한식,
951,2019-07-26,-41600,통신,,
952,2019-07-27,44800,생활,전자,애플
953,2019-07-27,6600,식사,카페,서기커피
954,2019-07-28,5250,교통,지하철 4,
955,2019-07-28,18000,식사,베트남식,
956,2019-07-28,18900,식사,햄버거,롯데리아
957,2019-07-29,10200,쇼핑,온라인,쿠팡
958,2019-07-30,3500,생활,편의점,바이더웨이
959,2019-07-30,46000,쇼핑,온라인,쿠팡
960,2019-07-31,63650,교통,버스 26,
961,2019-07-31,2000,식사,카페,카페7그램
962,2019-08-01,2000,생활,편의점,바이더웨이
963,2019-08-01,3500,식사,분식,
964,2019-08-02,12600,식사,카페,카페7그램
965,2019-08-02,16500,식사,분식,
966,2019-08-02,74000,식사,일식,
967,2019-08-02,1400,생활,마트,이마트
968,2019-08-03,5040,생활,마트,이마트
969,2019-08-04,4300,식사,카페,서기커피
970,2019-08-04,3800,식사,카페,서기커피
971,2019-08-04,28000,식사,닭강정,
972,2019-08-05,2000,식사,카페,카페7그램
973,2019-08-06,2000,식사,카페,카페7그램
974,2019-08-07,3500,식사,분식,
975,2019-08-08,38000,식사,카페,스타벅스
976,2019-08-08,-4000,기타,할인,
977,2019-08-08,2000,생활,편의점,바이더웨이
978,2019-08-09,2000,식사,카페,카페7그램
979,2019-08-09,2000,생활,편의점,바이더웨이
980,2019-08-09,1800,생활,편의점,바이더웨이
981,2019-08-10,16600,식사,카페,스타벅스
982,2019-08-10,-3320,기타,할인,
983,2019-08-10,4600,식사,카페,스타벅스
984,2019-08-10,3500,교통,지하철 2,
985,2019-08-10,-350,기타,할인,
986,2019-08-11,12400,식사,햄버거,맘스터치
987,2019-08-11,4300,식사,카페,서기커피
988,2019-08-11,15100,식사,카페,요거프레소
989,2019-08-11,-2440,기타,할인,
990,2019-08-11,12200,식사,카페,스타벅스
991,2019-08-11,16500,문화,음악,
992,2019-08-11,20030,식사,디저트,
993,2019-08-12,2000,식사,카페,카페7그램
994,2019-08-13,41600,통신,,
995,2019-08-14,2000,식사,카페,카페7그램
996,2019-08-14,1900,식사,카페,카페7그램
997,2019-08-14,2300,생활,마트,이마트
998,2019-08-14,48000,교통,버스 20,
999,2019-08-14,-1650,기타,할인,
1000,2019-08-15,14000,식사,닭강정,
1001,2019-08-15,27000,식사,일식,
1002,2019-08-16,2000,식사,카페,카페7그램
1003,2019-08-16,34400,식사,카페,카페7그램
1004,2019-08-16,1800,식사,카페,카페7그램
1005,2019-08-17,12000,쇼핑,패션,롯데프리미엄아울렛
1006,2019-08-17,43600,쇼핑,패션,롯데프리미엄아울렛
1007,2019-08-18,12600,식사,카페,스타벅스
1008,2019-08-18,-2520,기타,할인,
1009,2019-08-18,4600,생활,편의점,미니스톱
1010,2019-08-18,3000,식사,카페,서기커피
1011,2019-08-19,5000,생활,편의점,CU
1012,2019-08-19,4000,식사,카페,카페7그램
1013,2019-08-19,2800,식사,카페,카페7그램
1014,2019-08-20,7000,식사,한식,
1015,2019-08-21,1000,식사,분식,
1016,2019-08-21,5000,의료,약국,
1017,2019-08-21,2500,식사,분식,
1018,2019-08-22,6020,생활,편의점,바이더웨이
1019,2019-08-23,2000,식사,카페,카페7그램
1020,2019-08-23,5000,생활,마트,이마트
1021,2019-08-24,4000,의료,약국,
1022,2019-08-24,10000,문화,영화,CGV
1023,2019-08-25,26800,식사,햄버거,맘스터치
1024,2019-08-26,1783900,쇼핑,온라인,11번가
1025,2019-08-27,2000,식사,카페,카페7그램
1026,2019-08-28,12000,쇼핑,온라인,쿠팡
1027,2019-08-29,4200,식사,카페,카페7그램
1028,2019-08-29,2000,식사,카페,카페7그램
1029,2019-08-29,14000,식사,순대,
1030,2019-08-29,26400,문화,도서,교보문고
1031,2019-08-29,-1320,기타,할인,
1032,2019-08-29,48600,문화,도서,교보문고
1033,2019-08-29,-2430,기타,할인,
1034,2019-08-30,4500,식사,디저트,
1035,2019-08-31,60700,교통,버스 29,
1036,2019-08-31,11900,식사,피자,
1037,2019-09-02,7000,식사,순대,
1038,2019-09-02,1100,생활,편의점,GS25
1039,2019-09-03,1800,생활,편의점,바이더웨이
1040,2019-09-03,2000,식사,카페,카페7그램
1041,2019-09-05,2600,생활,편의점,바이더웨이
1042,2019-09-05,1500,식사,카페,카페7그램
1043,2019-09-05,8500,식사,카페,빽다방
1044,2019-09-06,10300,식사,디저트,
1045,2019-09-06,1700,생활,편의점,CU
1046,2019-09-08,27000,기타,,
1047,2019-09-08,99000,기타,,
1048,2019-09-09,4000,의료,약국,
1049,2019-09-10,2000,식사,카페,카페7그램
1050,2019-09-10,2200,생활,마트,이마트
1051,2019-09-11,2300,생활,편의점,CU
1052,2019-09-11,41600,통신,,
1053,2019-09-11,12000,생활,편의점,바이더웨이
1054,2019-09-12,2800,생활,마트,롯데마트
1055,2019-09-14,22500,유흥,술,
1056,2019-09-15,13700,생활,마트,홈플러스
1057,2019-09-15,2950,교통,지하철 1,
1058,2019-09-15,42250,교통,버스 20,
1059,2019-09-15,-2000,기타,할인,
1060,2019-09-15,3000,생활,편의점,세븐일레븐
1061,2019-09-15,14000,식사,닭강정,
1062,2019-09-15,6800,식사,카페,커피빈
1063,2019-09-16,7000,식사,순대,
1064,2019-09-16,2600,생활,편의점,바이더웨이
1065,2019-09-16,3500,식사,분식,
1066,2019-09-17,7000,식사,한식,
1067,2019-09-17,2600,생활,편의점,바이더웨이
1068,2019-09-17,1500,식사,카페,카페7그램
1069,2019-09-18,8000,식사,한식,
1070,2019-09-18,6000,의료,약국,
1071,2019-09-19,7000,식사,레스토랑,
1072,2019-09-19,6500,식사,순대,
1073,2019-09-19,3500,식사,분식,
1074,2019-09-19,1400,생활,편의점,CU
1075,2019-09-20,2300,생활,편의점,CU
1076,2019-09-20,4000,생활,편의점,바이더웨이
1077,2019-09-20,1500,식사,카페,카페7그램
1078,2019-09-20,6500,식사,순대,
1079,2019-09-20,1500,생활,편의점,GS25
1080,2019-09-21,10430,의료,약국,
1081,2019-09-21,40000,생활,헤어,
1082,2019-09-21,5800,의료,병원,
1083,2019-09-22,34010,식사,카페,구스띠모
1084,2019-09-22,3610,식사,카페,구스띠모
1085,2019-09-23,3500,식사,분식,
1086,2019-09-23,8000,식사,카페,빽다방
1087,2019-09-24,3400,식사,디저트,
1088,2019-09-24,950,생활,편의점,CU
1089,2019-09-24,2200,생활,마트,이마트
1090,2019-09-25,1500,생활,편의점,GS25
1091,2019-09-25,6500,식사,순대,
1092,2019-09-25,1400,생활,편의점,GS25
1093,2019-09-26,2000,식사,카페,카페7그램
1094,2019-09-26,7000,식사,순대,
1095,2019-09-26,2200,생활,편의점,GS25
1096,2019-09-27,3500,식사,분식,
1097,2019-09-27,10500,식사,레스토랑,
1098,2019-09-28,4700,의료,병원,
1099,2019-09-28,12360,의료,약국,
1100,2019-09-28,12500,식사,카페,스타벅스
1101,2019-09-28,-2500,기타,할인,
1102,2019-09-28,7500,식사,카페,커피앤티
1103,2019-09-28,4500,식사,카페,커피앤티
1104,2019-09-28,6600,식사,햄버거,맘스터치
1105,2019-09-29,3800,식사,카페,서기커피
1106,2019-09-30,1700,생활,편의점,CU
1107,2019-09-30,58400,교통,버스 24,
1108,2019-10-01,2200,생활,마트,이마트
1109,2019-10-02,3000,생활,편의점,바이더웨이
1110,2019-10-02,6600,식사,햄버거,롯데리아
1111,2019-10-03,4400,의료,약국,
1112,2019-10-03,5800,의료,병원,
1113,2019-10-03,17500,식사,만두,
1114,2019-10-04,2300,생활,편의점,CU
1115,2019-10-04,7000,식사,디저트,
1116,2019-10-05,24600,문화,게임,
1117,2019-10-05,5000,문화,게임,
1118,2019-10-05,41000,식사,구이,
1119,2019-10-05,4000,의료,병원,
1120,2019-10-05,44000,의료,병원,
1121,2019-10-05,11420,의료,약국,
1122,2019-10-06,5900,교통,택시,
1123,2019-10-07,48000,식사,한식,
1124,2019-10-07,1000,생활,편의점,CU
1125,2019-10-07,3000,식사,카페,카페7그램
1126,2019-10-08,1700,생활,편의점,CU
1127,2019-10-10,7000,식사,한식,
1128,2019-10-10,2000,생활,편의점,CU
1129,2019-10-11,41600,통신,,
1130,2019-10-11,5100,생활,편의점,CU
1131,2019-10-11,14000,식사,한식,
1132,2019-10-11,9000,식사,카페,빅컵커피
1133,2019-10-11,55500,유흥,술,
1134,2019-10-12,21400,쇼핑,패션,롯데프리미엄아울렛
1135,2019-10-12,8600,쇼핑,패션,롯데프리미엄아울렛
1136,2019-10-13,6000,생활,편의점,미니스톱
1137,2019-10-14,2000,식사,카페,카페7그램
1138,2019-10-14,-2500,기타,할인,
1139,2019-10-14,50000,문화,도서,교보문고
1140,2019-10-14,4000,생활,편의점,바이더웨이
1141,2019-10-14,13000,식사,순대,
1142,2019-10-15,-2000,기타,할인,
1143,2019-10-15,1700,생활,편의점,CU
1144,2019-10-15,3300,생활,편의점,CU
1145,2019-10-15,50400,교통,버스 18,
1146,2019-10-15,2600,생활,편의점,바이더웨이
1147,2019-10-16,2000,식사,카페,카페7그램
1148,2019-10-16,1700,생활,편의점,CU
1149,2019-10-17,2000,생활,편의점,GS25
1150,2019-10-17,1500,식사,카페,카페7그램
1151,2019-10-17,1500,식사,카페,카페7그램
1152,2019-10-18,5000,생활,편의점,CU
1153,2019-10-18,2000,식사,카페,카페7그램
1154,2019-10-18,2500,식사,카페,카페7그램
1155,2019-10-18,2300,식사,카페,카페7그램
1156,2019-10-20,17200,식사,햄버거,롯데리아
1157,2019-10-20,6200,식사,햄버거,롯데리아
1158,2019-10-21,2300,생활,편의점,CU
1159,2019-10-22,2000,식사,카페,카페7그램
1160,2019-10-22,7000,식사,한식,
1161,2019-10-23,2000,식사,카페,카페7그램
1162,2019-10-23,4900,식사,디저트,
1163,2019-10-23,7000,식사,순대,
1164,2019-10-24,2500,식사,햄버거,롯데리아
1165,2019-10-24,2800,생활,편의점,CU
1166,2019-10-24,7000,식사,한식,
1167,2019-10-24,4000,식사,카페,카페7그램
1168,2019-10-24,6600,식사,햄버거,롯데리아
1169,2019-10-25,6500,식사,순대,
1170,2019-10-25,2000,생활,편의점,CU
1171,2019-10-26,22000,기타,,
1172,2019-10-26,10000,문화,공원,
1173,2019-10-26,3000,기타,,
1174,2019-10-26,14200,식사,카페,스무디킹
1175,2019-10-26,31800,식사,한식,
1176,2019-10-27,19000,식사,햄버거,롯데리아
1177,2019-10-28,3800,식사,디저트,
1178,2019-10-28,12150,교통,지하철 8,
1179,2019-10-28,3300,생활,편의점,CU
1180,2019-10-28,-2120,기타,할인,
1181,2019-10-28,10600,식사,카페,스타벅스
1182,2019-10-29,2500,생활,편의점,CU
1183,2019-10-29,6000,식사,카페,커피빈
1184,2019-10-29,60000,식사,구이,
1185,2019-10-30,1700,생활,편의점,CU
1186,2019-10-30,14000,식사,한식,
1187,2019-10-31,6500,식사,카페,빽다방
1188,2019-10-31,5000,의료,약국,
1189,2019-10-31,74850,교통,버스 28,
1190,2019-10-31,1800,생활,편의점,GS25
1191,2019-11-01,7000,식사,한식,
1192,2019-11-01,3000,식사,카페,카페7그램
1193,2019-11-01,2200,생활,편의점,GS25
1194,2019-11-02,2500,교통,지하철 2,
1195,2019-11-02,-250,기타,할인,
1196,2019-11-02,13300,식사,카페,커피빈
1197,2019-11-03,22500,생활,마트,홈플러스
1198,2019-11-03,23810,식사,디저트,
1199,2019-11-03,3800,식사,카페,서기커피
1200,2019-11-04,31400,쇼핑,온라인,G마켓
1201,2019-11-05,2000,식사,카페,카페7그램
1202,2019-11-07,1700,생활,편의점,CU
1203,2019-11-07,1800,생활,편의점,바이더웨이
1204,2019-11-07,6500,식사,순대,
1205,2019-11-08,4400,생활,편의점,바이더웨이
1206,2019-11-09,4000,의료,병원,
1207,2019-11-09,10920,의료,약국,
1208,2019-11-09,62000,식사,레스토랑,
1209,2019-11-09,1700,식사,카페,투썸플레이스
1210,2019-11-10,5800,식사,햄버거,롯데리아
1211,2019-11-10,17000,식사,햄버거,롯데리아
1212,2019-11-10,32000,식사,구이,
1213,2019-11-11,2000,생활,편의점,CU
1214,2019-11-11,3800,식사,카페,카페7그램
1215,2019-11-12,41600,통신,,
1216,2019-11-12,1700,생활,편의점,CU
1217,2019-11-12,14000,식사,순대,
1218,2019-11-13,2500,생활,편의점,CU
1219,2019-11-13,1800,생활,편의점,바이더웨이
1220,2019-11-14,1800,생활,편의점,바이더웨이
1221,2019-11-14,1500,식사,카페,카페7그램
1222,2019-11-14,2500,생활,편의점,CU
1223,2019-11-15,3200,생활,편의점,CU
1224,2019-11-15,14000,식사,한식,
1225,2019-11-15,58800,교통,버스 21,
1226,2019-11-15,-1750,기타,할인,
1227,2019-11-15,1800,생활,편의점,바이더웨이
1228,2019-11-15,10000,식사,카페,카페7그램
1229,2019-11-15,6000,식사,카페,카페7그램
1230,2019-11-15,2300,생활,편의점,위드미
1231,2019-11-16,3800,식사,디저트,
1232,2019-11-16,5000,생활,편의점,GS25
1233,2019-11-16,7500,생활,편의점,GS25
1234,2019-11-16,-7500,생활,편의점,GS25
1235,2019-11-17,4590,생활,마트,홈플러스
1236,2019-11-17,25000,교통,기차,
1237,2019-11-18,1700,생활,편의점,CU
1238,2019-11-18,1500,식사,카페,카페7그램
1239,2019-11-18,60000,문화,도서,교보문고
1240,2019-11-18,-2500,기타,할인,
1241,2019-11-19,-2000,기타,할인,
1242,2019-11-19,1200,식사,카페,스타벅스
